name,school,project,image
Shuju Bai,"Southern University and A&amp;M College, Department of Computer Science",Modeling Protein-Substrate Interactions In The Lipoxygenase Family Using Computational Approaches,bai.jpg
Kui Chen,"Louisiana State University in Shreveport, Department of Chemistry &amp; Physics",Nanosensors For Reactive Oxygen Species And Their Roles In Carcinogenesis,chen.jpg
Alan Chiu,"Louisiana Tech University, Department of Biomedical Engineering",Adaptive Coupled Neural System Model For Hippocampal Function Restoration,chiu.jpg
June Feng,"Louisiana Tech University, Department of Biomedical Engineering",Understanding The Molecular Mechanism Of Alzheimer's Disease - Quantitative Proteomics Of Oxidatively Modified Proteins Using ITRAQ Analysis And A Novel Proteomic Reactor,feng.jpg
Chris R. Gissendanner,"ULM College of Pharmacy, Department of Basic Pharmaceutical Sciences",NR4A Regulation Of Organ Morphogenesis,gissendanner.jpg
Kinesha Harris,Southern University and A&amp;M College,Identification And Characterization Of Kola Acuminate (Bizzy Nut)-Specific Biomarkers For Prostate Cancer Prevention,harris.png
Amal Khalil Kaddoumi,"University of Louisiana at Monroe, College of Pharmacy",Targeting Beta Amyloid Clearance As Therapeutic Approach For Alzheimer's Disease,kaddoumi.png
Yong-Yu Liu,"University of Louisiana at Monroe, College of Pharmacy",Epigenetic Effects Of Ceramide Glycosylation And Drug-Resistant Cancer Stem Cell,liu.jpg
Elahe Mahdavian,"Louisiana State University in Shreveport, Department of Computer Science",Development Of Novel Anti-Cancer Agents,mahdavian.jpg
Eduardo Martinez-Ceballos,"Southern University and A&amp;M College, Department of Pathobiological Science",Regulation Of Mouse ES Cell Differentiation Into Neurons By Hoxa1,martinez.jpg
Teresa Murray,"Louisiana Tech University, Department of Biomedical Engineering",Newly Discovered Neural Receptor's Role In A_1-42 Pathogenesis Of Alzheimer's Disease,murray.jpg
Adarsh Radadia,Louisiana Tech University,Point-Of-Care Microelectronic Diagnostics For Early Phase Rickettsial Infections,radadia.jpg
Seetharama D Satyanarayanajois,"University of Louisiana at Monroe, College of Pharmacy",Role Of Extracellular Domain IV Of HER2 Protein In Cell Signaling,satyanarayanajois.png
Prerna Sethi Dua,Department of Health Information Management,Rule-Based Data Mining For Knowledge Discovery In Alzheimerï¿½s Disease Using Microarray Databases,sethi.jpg
Maureen Shuh,"Xavier University, College of Pharmacy",The Molecular Mechanisms Of Adult T Cell Leukemia Induction By HTLV-I Tax,shuh.jpg
Tara Williams-Hart,"Louisiana State University in Shreveport, Department of Biological Sciences",Assessment Of The Molecular Target Of Fusarochromanone And Its Analogues,williams.jpg
Shizhong Yang,"Southern University and A&amp;M College, Department of Computer Science",Molecular Dynamics Simulation On The Interaction Between Domain I Of GK And Extracellular Domain IV Of UL20,yang.jpg
Kun Zhang,"Xavier University, Department of Computer Science",Enhancement Of MicroRNA Research Through Bioinformatics Tool Development,zhang.jpg
